,Division,Subdivision,E-Record,Folder,Author(s),Title,Abstract,Year
184,"Arts & Humanities Division Projects, 2014-2022",Literature and Creative Writing,E-records: AD-MC-004,Folder : 2021-0044,"Uy, Jamie", Star Wars and the Eco-Politics of Survival,"From the scrappy Millennium Falcon to barren, backwater planets, the Star Wars universe
 revolves around junk, trash, and waste. Through the perspective of material ecocriticism,
 however, representations of so-called ""dead"" matter in Star Wars reveal how nonhuman
 elements of the environment are never truly inanimate. These representations prompt
 us to recognize the surprising ""force of things,"" an experience which Jane Bennett
 summarizes as ""thing-power,"" or ""the curious ability of inanimate things to animate,
 to act, to produce effects dramatic and subtle"" (Vibrant Matter 6). This capstone
 expands the boundaries of material ecocriticism, which has demonstrated relatively
 little interest in the thing-power of media, while bringing material ecocriticism
 to popular cinema. I analyze stereotypically inanimate matter or ""lesser"" life-forms
 (such as the Tusken Raiders, the Death Star, and carbonite) to argue that Star Wars
 casts the nonhuman as agentic across its sprawling storyworlds. Along the way, I track
 how eco-philosophy evolves throughout almost fifty years of Star Wars history. Analyzing
 Star Wars as a global transmedia phenomenon illuminates how our media environments
 and natural environments are enmeshed, embedded, and continuously interact. Ultimately,
 Star Wars advocates for an eco-politics of survival by expanding the definition of
 the ""Anthropos"" in the Anthropocene.",2021
185,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2014-0027,"Heo, Seonmin"," Recreating Performance Styles of Fats Waller, Erroll Garner, and Art Tatum Through
                                 Computer Programming","Major: Music, EconomicsAbstract: I created a computer program using Max, a visual programming language, to
 generate jazz piano solos that imitate the performance styles of Fats Waller, Erroll
 Garner, and Art Tatum. I explored the limitations of computer programming by first
 transcribing their performance recordings, analyzing patterns in their performance
 styles, and recreating jazz melodies according to these identified patterns that were
 encoded into the program.",2014
186,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2014-0023,"Nivia Obando, Manuel Jose", AUHDIO,"Major: Music. Online Project. Abstract: A monthly live music showcase and platform
 that features live music in unconventional and underutilized venues with the goal
 of vitalizing the music scene of Abu Dhabi.",2014
187,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2016-0008,"Bello, Juliana", Ámame como Amas: A Music Capstone,"Ámame como Amas is a four-song EP that intersects with three different languages and several musical
 styles. It features covers of well known songs that rotate through the languages of
 English, Arabic, and Spanish, and the genres of electropop, Cuban and modern pop salsa,
 and traditional Arabic music. This EP brings together three groups of musicians thoroughly
 familiar with these styles of music so that their specialties might combine without
 facing the boundaries usually in place between their respective genres. The choice
 of English, Arabic, and Spanish reflects my personal experience of studying these
 languages and some of the musical and vocal traditions that have developed alongside
 them.",2016
188,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2016-0017,"de Keizer, Victoria"," Music, Voice, and Agency: Response Mechanisms of Politically Marginalized Groups and
                                 the Case of the Rastafari Minority in Ethiopia","This research project uses Minorities at Risk (MAR) data and an original ethnographic
 dataset to examine how politically marginalized groups respond to exclusion. Drawing
 on Albert Hirschman's theory of exit, voice, and loyalty, my analysis reveals global
 patterns in minority responses, while my case study of the Rastafari provides insight
 into the complex politics of inclusion and exclusion in Ethiopia from the 1950s to
 the present. Both these datasets demonstrate that groups who are excluded establish
 political agency through different modes of voice, which, in Rastafari communities,
 takes the form of Ethiopian reggae music. Although my research indicates that groups
 with political representation are more likely to express dissent through pressure
 group tactics, it suggests also that music can serve as an important platform for
 envisioning and negotiating political and cultural inclusion in the absence of formal
 representation.",2016
189,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2017-0003,"Chan, Garreth", Unheard Of: Creating Cinematic Soundscapes,"Unheard Of: Creating Cinematic Soundscapes comprised of developing all audio components
 for the following four film capstones: Alma (Jime Reyes), Acheevment (Gergő Varga),
 Mahaa (Yunbo Wu), and Thirty (Yi Yi Yeap). These audio components included my assumption
 of all the following roles:• Production Sound Mixer, Boom Operator, Sound Editor • Producer, Sound Designer, Music Supervisor• Composer, Performer, Recording Engineer• Foley Supervisor, Foley Artist, Foley Mixer• ADR Supervisor, ADR Mixer• Mixing EngineerThe motivation of the capstone project came from my desire to explore further my previous
 experiences in designing music and sound for films and theater performances, specifically
 the notion and conscious use of silence (or lack thereof) in creating an effective
 sonic ambience. The question of using silence with emotional impact is in response
 to film director Henri Colpi's quote, ""Above all, no gaps or holes, cry filmmakers
 with alarm. And if hole there be, plug it up with music,"" and offers a counterexample
 of using non-musical elements – in line with musical elements – to elicit similar
 emotional response.",2017
190,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2018-0027,"Klaric, Andrija"," Symbolic Oscillations: Using Feedback to Augment Parameter Relationships in Digital
                                 Music Systems","This paper suggests that the implementation of tactile feedback works towards restoring
 embodied cognitive relationships in digital music systems. I ask whether we may use
 tactile feedback in another manner, for example, to augment symbolic relationships
 by physicalizing the relations between sound variables and synthesis processes in
 digital music systems. This departs from the discussion of how digital instruments
 engage users in hermeneutic processes of cognition, in contrast to processes of embodied
 cognition, more typical of the relationship established with acoustic instruments.
 Finally, I propose the design and construction of an interactive digital synthesizer
 system to explore and test the ideas discussed in this paper.",2018
191,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2018-0006,"Kuzmneko, Leonid"," Blending Technology, Virtual Instruments, and Live Performers in Music Scoring","The paper describes the framework that is introduced by me, which aims at blending
 virtual instruments, live performers, robotic instruments, and controllers together
 in a concert environment in a form of an orchestral piece of music that is approximately
 40 minutes long. Somewhat similar framework, known as hybrid score, is largely used
 in film music production. The largest difference of the approach described in the
 paper is that it utilizes multichannel audio as the main feature of the virtual instruments'
 sound reproduction, creating the feeling of listening to a live full orchestra.",2018
192,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2018-0026,"Serrano, Cristina", Sonido Bogotano,"This ethnography follows closely the lives and works of young upper-middle class men
 who are a part of what is understood to be the emerging ""alternative music"" scene
 of Bogota, Colombia. Based on four months of fieldwork, this ethnography tells the
 story of what it is like to be a struggling musician in a large city with ever-growing
 cultural offers. In my work, I theorize scene building in the context of popular music,
 and explore the relationship between art, place, and the imagination. Ultimately,
 I propose that the city of Bogota is the main character in a popular music scene that
 is otherwise characterized by its musical heterogeneity.",2018
193,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2019-0031,"Bicec, Margarita", Romanian Folk Music and Dubstep: Recontextualizing Folk Styles in Contemporary Forms,"Fusions of music styles are happening all over the world, to the extent that it oftentimes
 becomes questionable to which genre a certain piece pertains. Intermixtures between
 contemporary styles and folk music are important because of their ability to revive
 old genres that are not as present in the lives of today's generations anymore. This
 paper explores ways to create such fusions between Romanian folk music and the Electronic
 Dance Music genre ""Dubstep"" through three versions of the Romanian folk song ""Ca pe
 luncă"" created in the Digital Audio Workstation Logic Pro. The first version is simply
 a recreation of ""Ca pe luncă"" with digital and recorded instruments. The second version
 was created with the intention of keeping a larger amount of the Romanian piece intact,
 preserving its meter and tempo. The last version was made to preserve the meter and
 tempo of the Dubstep genre, thus keeping more of its main characteristics.",2019
194,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2019-0005,"Vaidya, Himag"," Analyzing the transformative effects of Music Production on the Expressive Value of
                                 a Composition","Through this capstone I aim to examine how music production can act as a medium to
 de-contextualize and re- contextualize a piece of music and affect its expressive
 value by influencing its composition, lyrics, arrangement and sonic characteristics.
 I will do so by producing the same song 5 different ways and reflecting upon the expressive
 transformation that occurs.",2019
195,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2021-0048,"Alblooshi, Safeya", Narrated Liquid Contaminants,"Narrated Liquid Contaminants is a 15-speaker sound installation divided into 4 zones,
 each following a theme of contamination; from E-waste to human-caused pollution, naturally
 caused contamination, and viral contaminants. Each zone has dedicated contaminated
 bottles with touch sensors at the bottom which once triggered, initiate visual projection
 and soundscapes. The audience then interacts with photoresistors on the bottles by
 casting a shadow over the projection, altering the soundscapes of curated field recordings.
 This project embodies a form of situated listening that addresses topics of contaminated
 waterbodies and the effect they play on the environment. Water is used as a medium
 to conceptually portray flows of contamination, replicating those existing in the
 natural environment, and sound as a channel of narration, accompanied by video. The
 mediums connect with each other once interacted with via physical touch or shadow
 movement, letting the installation act as a means of situating the audience in an
 altering soundscape by participating in the narrative rather than being passive observers;
 a reflection on our co-existent relationship and active contribution to our surrounding
 environments.",2021
196,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2021-0046,"Bognar, Lili Janka"," Past, Present, Palimpsest: Hungarian Folk Music's Performance Evolution","This Capstone Project occupies the domain of practice research, in that its key questions
 are posed through an engagement and intermingling of my own practice, others' practice/s,
 and the supporting musicological and philosophical literature. My key area of problematicity
 is concerned with notions of authenticity in Hungarian folk music, and especially
 folk music involving vocal performance. It considers folk music as an evolving tradition
 that is not restricted by a modern-day understanding of geographical borders; time
 period; or performance practice. Such a conception challenges the notion of folk music
 as a 'fixed', 'pure', and 'authentic' form of music, and consequently a static performance
 practice; a perception that is still surprisingly commonly held by some scholars,
 performers, and audiences in parts of Hungarian society today. My Capstone work aims
 to draw from the past by previewing the future, placing folk songs in a perpetual
 present that is constantly adapting, influencing, and being influenced.",2021
197,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2021-0049,"Ciocca, Vera Renjifo"," Towards a sustainable career as a post-millennial singer/songwriter: A Step-by-Step
                                 Guide to Independence in the Music Business","Success in the music industry is not the same as it was a few generations ago. Building
 a career as an independent artist is changing with shifting expectations from all
 the stakeholders in the music business. Additionally, the emergence of multimedia,
 streaming platforms, and blockchain technologies, create more complex environments
 for emerging artists to navigate. In this study, I present a roadmap that will facilitate
 the process of releasing music for post-millennial independent singers/songwriters
 with consideration for all new variables in the market. In developing this roadmap,
 I analyze recent developments in the most important domains that an independent singer/songwriter
 needs to know about. These domains include (i) legal frameworks in the music business,
 (ii) marketing and distribution strategies, and (iii) monetization in the music business.
 I also analyze my experience in composing, producing, and releasing two songs in the
 form of contributions to this work to demonstrate where important domains overlay
 in practice. My goal, through this step-by-step guide, is to support emerging artists
 starting from zero to promote their music independently and who want to develop a
 sustainable career in Pop music.",2021
198,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2021-0047,"Cruz, Mateo", Thoughtcrimes: Investigating the Creative Process Through a Self-Study,"This capstone project is a practice-based research that explores the creative process
 through the composing of a music piece for string quartet. It examines the nature
 of creative thoughts, the questions that ground an artistic vision, and the practical
 challenges faced in such an undertaking. In both the music and the critical reflection
 of this project there is constant struggle between what I believe music should be,
 and the desire to push outside of that limiting preconception.",2021
199,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2022-5274,"Choi, Eunsu", Departure: a staged song cycle,"Departure is a staged song cycle that consists of seven original songs. These songs
 are sung by a semi-autobiographical character, Jenna, who is portrayed at three different
 ages (12, 24, and 36) of her life by three actors. The 30-minute cycle explores the
 emotional complexities associated with departure of many kinds, while reminiscing
 about the innocence of youth and contemplating the uncertainty of the future. The
 project aims to address the following questions: How can song cycles depict a narrative
 and explore psychological states, and how can they be enhanced by staging? How could
 I write a song cycle with a consistent theme of departure while portraying vignettes
 of a character's growth over time? How can a theatrical impulse shape the process
 of songwriting? Moreover, how can I create semi-autobiographical female roles that
 are different from superficial archetypes?",2022
200,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2022-5305,"Kularatne, Asel"," Problematizing 19th Century Western Conceptions of the East in Contemporary Vocal
                                 Repertoire","My project centers on an exploration of the East and its conception in the West, as
 found in vocal repertoire of the 19th century, and consists of a research paper and
 a formal recital presenting vocal works from both traditions. This project aims to
 provide answers to the primary question, 'can practice research help us understand
 manifestations of the East in 19th century Western vocal repertoire?' I approach this
 question by understanding and using key concepts and methods of practice research,
 by researching concepts of Orientalism and wider Orientalist themes, by recounting
 my personal artistic journey exploring my Sri Lankan vocal heritage, and by studying
 Western repertoire from the same period and by problematizing vocal technique in the
 performance of works from both traditions in a formal recital. Western repertoire
 was selected from French Operas and German Lieder. Eastern repertoire was exclusively
 taken from the oral tradition of Sri Lanka which includes folk song, religious music
 and literary quatrains of courier poems, all of which would have been performed during
 the 19th century in Sri Lanka (Ceylon).",
201,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2022-5304,"Laszlo, Bea"," Traversion of Memories, Time, and Place through Songwriting in the Form of a Song
                                 Cycle entitled Postcards: An Artistic Research","The recollection of memories within realms of places and through periods of time has
 been a thematical link that several artists explored in their artworks via different
 artistic media. Songwriting, as a form of storytelling, can serve as one of these
 tools to allow personal recollections to take shape and be conceptually presented
 in a narrative-like structure. At the same time, the way we listen to and experience
 music, such as songs, is affected by the construction of performative space and its
 ability to create a certain environment in which the audience positions itself. Historically,
 culturally, and socially, spaces allow listeners to interact with music in a distinct
 manner, from liturgical music presented in cathedrals through musical theatre performances
 placed within imagined sceneries to sound installations displayed in public spaces.
 Drawing on conceptions of the power of songwriting as well as constructed space and
 its effect on audience interaction, this paper investigates the traversion of memories,
 time, and place through the exploration of songwriting in the form of an autobiographical
 song cycle entitled Postcards.",2022
202,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2022-5316,"Marcus-Willers, Aaron", Live Room,"Live Room is an audiovisual installation presenting 25 minutes of recorded original
 music exploring fragmented notions of presence and identity in the digital age, particularly
 in the wake of the COVID-19 pandemic. Structurally, the installation explores the
 naturalization of surrealism in both musical performance and in broader conceptions
 of engagement with electronic media. Spatiality is the primary area of experimentation
 in this project. The project engages with these topics at musical, visual, and methodological
 levels, as the concepts within the artistic material are reflected, or perhaps refracted,
 by their modes of transmission and reception in the installation. Acoustic space,
 innately embedded in time, is condensed, manipulated, and framed in new temporal environments
 through the layered operations of performance, recording, signal processing, and dispersion
 in the room. Audio-reactive distortion of the filmed performance interplays with mirrors
 and curtains in the room, and visual space becomes digitally distorted and physically
 fragmented. Dictated by the dynamics in the music, as well as the structures and surfaces
 in the space, the ocular experience is fluid and nonlinear, and the presence of the
 audience becomes the only constant in the installation.",2022
203,"Arts & Humanities Division Projects, 2014-2022",Music,E-records: AD-MC-004,Folder : 2022-5303,"Mollel, Enid", Vibing Solo: Investigating How Emotional Labor Manifests in Individual Music Practices,"In this capstone project, I comparatively study the nuances of producing music remotely
 ""in the box"" and in the recording studio. I explore whether there is a relationship
 between music-making and in-person interaction and investigate whether working in
 a strictly remote format - mimicking the virtual nature of the pandemic - influences
 the vibe of the music-making process in any way. For the purpose of my research, I
 use scholars Allan Watson's and Jenna Ward's discussions on emotional labor (Watson
 and Ward 2013) as well as Teresa Brennan's work on affect theory (Brennan 2015), as
 a foundational theoretical framework from which I define and base my discussions on
 vibe, emotion, and affect in the process of music-making. My research specifically
 attempts to create a framework for understanding how emotional labor manifests itself
 in solo music-making practices with non-sentient entities.",2022
204,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2014-0105,"Hansen, Lucas Roy", Dark Matter as an Instance of Duhem's Problem: A Bayesian Analysis,"Major: PhilosophyAbstract: This paper applies the structure of Bayesian confirmation theory to new
 questions in theoretical physics, in particular to those surrounding the observations
 that have led to the hypothesis of dark matter. I argue that observations used as
 evidence for dark matter are relevant examples of Duhem's problem in confirmation
 theory. Using Bayesian analysis, I calculate the conditional probabilities of several
 different ways of accounting for the unexpected observations, and attempt to discern
 which are justified as explanations. I conclude that relatively unpopular alternatives
 to dark matter theories, like modified Newtonian mechanics (MOND), deserve greater
 scrutiny in light of these calculations.",2014
205,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2014-0005,"Kahn, Amelia Ruth", A New Trivialization Objection to the Statistical Solution to the Generality Problem,"Major: PhilosophyAbstract: This thesis examines James R. Beebe's statistical solution to the generality
 problem for process reliabilism. Beebe's solution employs concepts from cognitive
 science along with a mechanism of statistical relevance to pick out a unique process
 type. I argue that Beebe's view cannot rule out process types defined by periods
 of time, and because of this, the view falls victim to a trivialization. Beebe's
 view yields the result that true beliefs are maximally justified and false beliefs
 are maximally unjustified. I explore several strategies to avoid the temporal types
 trivialization and ultimately find them to be unsatisfactory.",2014
206,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2014-0021,"Shirley, Joshua Cameron", Conundrums in Compatibilism: Manipulation and Identity,"Major: Philosophy, Political ScienceAbstract: In this paper, I endeavour to lay out some of the virtues and flaws of the
 prominent historical compatibilist account proposed by John Fischer and Mark Ravizza
 in Responsibility and Control: A Theory of Moral Responsibility. Specifically I aim
 to demonstrate that making the notion of identity salient enables Fischer and Ravizza
 to more adequately deal with certain local and global manipulation cases that are
 commonly thought to be problematic cases for compatibilists. However, this approach
 is open to historical and non-historical compatibilists alike and thus considerations
 of identity may ultimately lend support to non-historical compatibilist views by decreasing
 the force of counterexamples facing these accounts.",2014
207,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2015-0020,"Cheruvatur, Sachith Joseph", Against Concept Empiricism,"Major: PhilosophyAbstract: My capstone is an argument against concept empiricism as presented by the
 philosopher Jesse Prinz. Concept empiricism is a claim that all concepts are perceptually
 based. I explore what it means to be perceptually based and then offer two main arguments
 against concept empiricism.In my first argument I explore how the modular nature of face processing hints at
 the existence of an innate and complex 'face' concept. I argue how and the innate
 nature of this complex 'face' concept poses a threat to concept empiricism. The second line of argument is the more common strand of arguing against concept empiricism.
 I argue that there might be non-innate complex concepts that we learn about later
 on in our lives that can't possibly be perceptually based. I demonstrate this argument
 using the example of Minkowski Space-Time.",2015
208,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2015-0005,"McMahon, Connor", Towards a Better Theory of Admissibility in Supervaluationism,"Major: PhilosophyAbstract: Supervaluationism posits that a vague statement is true if it is true on
 all admissible precisifications of its vague terms. However, many prominent philosophers
 have often punted on giving a concrete theory of what 'admissible' means, often leaving
 it a primitive term and at best associating it with 'appropriate' or 'correct'. I
 suggest two alternative theories for defining 'admissible', which overcome some of
 the problems that primitive concepts of it encounter, such as higher-order vagueness
 and inaccessibility of meaning facts. I finally compare these alternative theories,
 a polling view and a core traits view of 'admissible', with the primitive conceptions
 to show that it is worth exploring more concrete theories of admissibility in order
 to improve supervaluationism.",2015
209,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2016-0001,"Arseculeratne, Anishka", Examining Appiah's Identity and Cosmopolitanism,"In his book Ethics of Identity, Appiah explores the messy territory of the relation
 among identity, individuality, and ethics. His exploration begins with his view of
 the nature of the self and leads to his view about the obligations that individuals
 have toward others, which he calls Rooted Cosmopolitanism. Appiah's work draws upon
 liberal and communitarian ideas which have been in tension since the inception of
 the liberal-communitarian debate in the 1980s. In each case, Appiah deliberately places
 himself in the middle ground between liberal and communitarian ideas. In this paper
 I aim to systematise both Appiah's view of the self and his Rooted Cosmopolitanism,
 and examine the relation between the two views. I will then locate each view on the
 spectrum of ideas between those of the hardline liberal and the hardline communitarian
 to determine whether or not his view is coherent and truly original.",2016
210,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2016-0002,"Leb, Benjamin Jared", Reasoning About Promises,"In his recent book, Shaping the Normative Landscape, David Owens presents a view on
 the value and function of obligation. This account includes a theory of promissory
 obligation that is very different from established thought on the subject. In my capstone,
 I hope to provide a critical summary of Owens' view. I will examine the extent to
 which promises require us to change our thinking about what to do and provide an interpretation
 of Owens' explanation of how this happens. Finally, I evaluate cases in which we are
 exempt from fulfilling our promises and provide an alternative to Owens' mechanism
 for dealing with these cases based on his analysis of how promising should change
 our practical reasoning.",2016
211,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2016-0006,"Lee, Gayoung", Is Neutrality Possible? State Neutrality and the Liberal-Communitarian Debate,"We are surrounded by views of all kinds, especially when it comes to the good life
 and what it constitutes. This poses a problem for states who want to cater to everyone's
 views. For liberal states that try to respect individual liberty, a plurality of views
 means it is harder for states to act while keeping their commitment to catering to
 all the views in their society. Liberals nonetheless claim to have the answer to this
 problem - state neutrality. However, the idea of state neutrality has come under intense
 scrutiny by thinkers known as communitarians, sparking off the liberal-communitarian
 debate. I will examine the arguments by communitarians in this debate and use them
 to assess models of justifying state coercion put forward by various liberals.",2016
212,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2016-0015,"Shraim, Rasha", Time Travel and Leibniz's Law,"Leibniz's Law can be summed up in the following: if a is identical with b, every quality
 of a will be a quality of b. Time travel, which is possible according to our best
 physics, entails that the same thing can be in two places at the same time. If we
 go back to Leibniz's Law, it tells us that the same thing cannot be in two places
 at the same time because that entails having different qualities (namely, being in
 different locations). Leibniz's Law and time travel seem to be incompatible. More
 broadly, time travel represents a complex case of the problem of change while Leibniz's
 Law constitutes the foundation of material identity. In my capstone project, I examine
 different philosophical views that attempt to resolve the broader tension between
 the problem of change and material identity in Leibniz's Law. I evaluate these views
 based on whether they are able to explain the specific case of time travel and offer
 a potential refinement.",2016
213,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2017-0006,"Cruz, Natalia"," Unlocking Strawson: An Analysis of an Interpretation of Locke's Theory of Personal
                                 Identity","John Locke's theory of personal identity was revolutionary in many ways at the time
 it was published. For the first time in the Western philosophical tradition it was
 argued that the connections that make a person the same person across time are essentially
 psychological. However, there have been many interpretations of Locke's theory. One
 of the most recent is Galen Strawson's. Strawson argues that Locke's theory of personal
 identity works as a theory of moral accountability. My capstone is a close reading
 of Galen Strawson's take on Locke, questioning whether it makes sense to think of
 Locke's account of personal identity primarily in terms of moral responsibility.",2017
214,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0041,"Baho, May"," Twins, Tigers, and Refrigerators: On Prescientific Kind Terms","This capstone argues the ways in which natural kind terms in the philosophy of language
 designate to their respective kinds. There has been a longstanding conception that
 natural kind terms are rigid designators and that theoretical identities involving
 natural kind terms are necessary a posteriori statements. I argue that prescientific
 natural kind terms were not rigid designators and that they were stipulated to be
 rigid after certain scientific discoveries were made, rendering the theoretical identities
 involving those terms necessary by stipulation only and not a posteriori.",2019
215,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0012,"Chagnon, Jacob", Depersonalization & Buddhist No-Self,"Bringing together elements from philosophy of mind, psychology, neuroScience, and
 Buddhist tradition, my capstone uses depersonalization to address questions of selfhood
 and normativity behind ""losing"" our experience of being a self. Depersonalization,
 a phenomenon which entails feeling estranged from how we normally experience ourselves,
 is typically understood as a mental disorder; as harmful, disruptive, and negative.
 However, a central motivation in Buddhist philosophy is to demonstrate the illusory
 nature of the self, and to rid ourselves of its grip through certain practices. Consequently,
 my project analyzes the differences between depersonalization and the Buddhist practices,
 backing each up with neuroscientific data when possible, to explain how each bears
 on our experience of ourselves as selves. Additionally, I weigh both accounts against
 philosophical criteria of what constitutes a mental disorder, drawing conclusions
 which separate depersonalization and Buddhist practices both in terms of the underlying
 processes, and the normativity behind each experience.",2019
216,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0170,"Chapman, Taj", Mind Your Language: A Philosophical Investigation into Objectivity in Journalism,"Despite the notion that objectivity is used to combat bias, this paper argues that
 appealing to objectivity is far more difficult.",2019
217,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0011,"Du, Xiaoxiao", Debunking Evaluative Realism,"I examine several versions of the debunking arguments of evaluative realism. Locke
 and Korman has demonstrated that the appearance of safety and sensitivity does not
 guarantee epistemic integrity. I believe that the explanatory concession defeats only
 indirectly: the explanatory concession defeats the a priori entitlement to make evaluative
 assumptions, and the modal concession, which follows from the inability to make evaluative
 assumptions, defeats our evaluative beliefs.",2019
218,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0013,"Duskova, Anita", Ethics of Zakat: Comparison of Islamic Ethical Approaches on the Example of Zakat,"Zakat, meaning almsgiving, is a form of charity compulsory for all Muslims. Considering
 that the Qur'an provides a minimal amount of information on the specifics of paying
 and receiving zakat, Muslims had to rely on theological and ethical interpretations.
 Inevitably authors had disagreed not only on the specifics of the zakat tradition
 but also on the reasons and frameworks backing the Islamic pillar. Thus, this paper
 presents three frameworks of zakat in detail: Al-Ghazali's Mysteries of Almsgiving,
 Al-Qaradawi's Fiqh al-Zakah, and Maliki's Al-Muwatta. To prove the significant disparity
 between these frameworks, each of them is compared to a different western normative
 ethical perspective: virtue ethics, consequentialism, and deontology(respectively).
 Furthermore, these frameworks are situated into their Islamic historical background,
 to portray the history of each specific ethical tradition within its context. Conclusively,
 I present the varying ethical justifications of the different frameworks Muslims need,
 for the application of the specific methodology of paying zakat. Overall, this paper
 contends that each of the authors had a significant personal influence on the interpretations.",2019
219,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0044,"Huang, Alice", What We Talk About When We Talk About Structure,"In this paper I examine what the notion of ""structure"" should amount to in the context
 of the mind-body debate. I consider two interpretations considered the most promising,
 put forth respectively by Pereboom(2015) and Chalmers(2010), and conclude that both
 fail.",2019
220,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0030,"Meier, Liam", Proportional Choice for Normative Uncertainty,"Normative theories tell us what we ought to do or believe. But if you're not sure
 which normative theory is correct, how should you act or believe? Philosophers have
 proposed various higher order normative theories. I argue that the theories all suffer
 serious problems. In turn, I propose and defend Proportional Choice--following the
 recommendations of the theories you believe in proportion to how much you believe
 them--as the correct higher order theory for normative uncertainty.",2019
221,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2019-0009,"Shukla, Sugandha"," Causal (In)dependence in Counterfactual Analysis: Deterministic and Indeterministic
                                 Worlds","A need for invoking causal independence when evaluating counterfactuals under David
 Lewis's standard possible-worlds semantics has been argued for by many. This paper
 aims to present a comprehensive account of the philosophical discussions on the role
 of causal dependence in counterfactual analysis, argue for the significance of causal
 considerations in both deterministic and indeterministic worlds and shed light on
 some problems with incorporating these causal considerations in the semantics. I present
 counterexamples to Lewis's standard semantics and discuss how these counterexamples
 suggest a need for invoking causal independence. I reject the premise—that Morgenbesser
 counterfactuals are true—based on which Schaffer and Edgington claim that Morgenbesser
 cases pose a problem for the standard semantics in the first place. I argue that when
 the indeterministic nature of Morgenbesser cases is accounted for, the counterfactuals
 comes out to be false. However, I contend that considerations of causal dependence
 are nevertheless significant in counterfactual analysis for both deterministic and
 indeterministic scenarios. In the end, I argue that the degree to which one event
 causally depends on another factors into whether the counterfactual in question is
 evaluated as true or false. Therefore, notions of causal relevance in the current
 causal independence approach need to be fine-grained.",2019
222,"Arts & Humanities Division Projects, 2014-2022",Philosophy,E-records: AD-MC-004,Folder : 2020-0036,"Chiu, Emma", Weighing Property Rights: The Cabin and The Mosque,"This capstone weighs the moral and prudential weight of property rights with other
 rights, when conflicts of rights arise. Conflicts of rights occur when a situation
 only allows one right to be preserved at the expense of another. This capstone discusses
 specifically, situations where the right to life might seem to trump the moral and
 prudential force of property rights. Through a series of arguments, I will end with
 Ruth Barcan Marcus' discussion on moral dilemmas, where I demonstrate that property
 rights have the ability to generate genuine moral dilemmas.",2020
